Stock Name,SYMBOL
ACC LIMITED,ACC
ADANI PORT & SEZ LTD,ADANIPORTS
ADANI ENTERPRISES LIMITED,ADANIENT
ADANI POWER LTD,ADANIPOWER
AMBUJA CEMENTS LTD,AMBUJACEM
APOLLO HOSPITALS ENTER. L,APOLLOHOSP
ARVIND LIMITED,ARVIND
ASIAN PAINTS LIMITED,ASIANPAINT
AUROBINDO PHARMA LTD,AUROPHARMA
BAJAJ FINANCE LIMITED,BAJFINANCE
BALKRISHNA IND. LTD,BALKRISIND
BANK OF BARODA,BANKBARODA
BANK OF INDIA,BANKINDIA
BERGER PAINTS (I) LTD,BERGEPAINT
BHEL,BHEL
BAJAJ FINSERV LTD.,BAJAJFINSV
BOSCH LIMITED,BOSCHLTD
CADILA HEALTHCARE LIMITED,CADILAHC
CENTURY TEXTILES LTD,CENTURYTEX
CHOLAMANDALAM IN & FIN CO,CHOLAFIN
CUMMINS INDIA LTD,CUMMINSIND
DIVI'S LABORATORIES LTD,DIVISLAB
DLF LIMITED,DLF
ENGINEERS INDIA LTD,ENGINERSIN
EQUITAS HOLDINGS LIMITED,EQUITAS
ESCORTS INDIA LTD,ESCORTS
FEDERAL BANK LTD,FEDERALBNK
GODREJ CONSUMER PRODUCTS,GODREJCP
GRASIM INDUSTRIES LTD,GRASIM
HAVELLS INDIA LIMITED,HAVELLS
HCL TECHNOLOGIES LTD,HCLTECH
BIRLASOFT LIMITED,BSOFT
HDFC BANK LTD,HDFCBANK
HEXAWARE TECHNOLOGIES LTD,HEXAWARE
HINDUSTAN PETROLEUM CORP,HINDPETRO
CANARA BANK,CANBK
HINDUSTAN ZINC LIMITED,HINDZINC
VODAFONE IDEA LIMITED,IDEA
IDFC FIRST BANK LIMITED,IDFCFIRSTB
CASTROL INDIA LIMITED,CASTROLIND
INTERGLOBE AVIATION LTD,INDIGO
INDUSIND BANK LIMITED,INDUSINDBK
INFOSYS LIMITED,INFY
INDIAN OIL CORP LTD,IOC
DEWAN HOUSING FIN CORP LT,DHFL
ITC LTD,ITC
JINDAL STEEL & POWER LTD,JINDALSTEL
EICHER MOTORS LTD,EICHERMOT
JSW STEEL LIMITED,JSWSTEEL
JUBILANT FOODWORKS LTD,JUBLFOOD
JUSTDIAL LTD.,JUSTDIAL
KOTAK MAHINDRA BANK LTD,KOTAKBANK
EXIDE INDUSTRIES LTD,EXIDEIND
L&T FINANCE HOLDINGS LTD,L&TFH
LUPIN LIMITED,LUPIN
MAHINDRA & MAHINDRA LTD,M&M
GLENMARK PHARMACEUTICALS,GLENMARK
MARICO LIMITED,MARICO
UNITED SPIRITS LIMITED,MCDOWELL-N
MULTI COMMODITY EXCHANGE,MCX
MOTHERSON SUMI SYSTEMS LT,MOTHERSUMI
MRF LTD,MRF
MUTHOOT FINANCE LIMITED,MUTHOOTFIN
NATIONAL ALUMINIUM CO LTD,NATIONALUM
NCC LIMITED,NCC
ICICI PRU LIFE INS CO LTD,ICICIPRULI
NESTLE INDIA LIMITED,NESTLEIND
NTPC LTD,NTPC
OIL AND NATURAL GAS CORP.,ONGC
PAGE INDUSTRIES LTD,PAGEIND
BHARTI INFRATEL LTD.,INFRATEL
POWER FIN CORP LTD.,PFC
PIDILITE INDUSTRIES LTD,PIDILITIND
PUNJAB NATIONAL BANK,PNB
THE RAMCO CEMENTS LIMITED,RAMCOCEM
RAYMOND LTD,RAYMOND
REC LIMITED,RECLTD
RELIANCE CAPITAL LTD,RELCAPITAL
RELIANCE INDUSTRIES LTD,RELIANCE
STEEL AUTHORITY OF INDIA,SAIL
SIEMENS LTD,SIEMENS
SRF LTD,SRF
SHRIRAM TRANSPORT FIN CO.,SRTRANSFIN
STRIDES PHARMA SCI LTD,STAR
TATA GLOBAL BEVERAGES LTD,TATAGLOBAL
TATA POWER CO LTD,TATAPOWER
TATA CONSULTANCY SERV LT,TCS
MAHANAGAR GAS LTD.,MGL
TECH MAHINDRA LIMITED,TECHM
MINDTREE LIMITED,MINDTREE
TORRENT POWER LTD,TORNTPOWER
UNITED BREWERIES LTD,UBL
UJJIVAN FIN. SERVC. LTD.,UJJIVAN
UNION BANK OF INDIA,UNIONBANK
UPL LIMITED,UPL
VEDANTA LIMITED,VEDL
VOLTAS LTD,VOLTAS
WIPRO LTD,WIPRO
YES BANK LIMITED,YESBANK
AMARA RAJA BATTERIES LTD.,AMARAJABAT
NIIT TECHNOLOGIES LTD,NIITTECH
RELIANCE INFRASTRUCTU LTD,RELINFRA
APOLLO TYRES LTD,APOLLOTYRE
AXIS BANK LIMITED,AXISBANK
TITAN COMPANY LIMITED,TITAN
ASHOK LEYLAND LTD,ASHOKLEY
BAJAJ AUTO LIMITED,BAJAJ-AUTO
BATA INDIA LTD,BATAINDIA
BHARAT ELECTRONICS LTD,BEL
BHARAT FORGE LTD,BHARATFORG
BIOCON LIMITED.,BIOCON
BHARAT PETROLEUM CORP  LT,BPCL
BRITANNIA INDUSTRIES LTD,BRITANNIA
CESC LTD,CESC
CIPLA LTD,CIPLA
COAL INDIA LTD,COALINDIA
DABUR INDIA LTD,DABUR
DISH TV INDIA LTD.,DISHTV
GAIL (INDIA) LTD,GAIL
GMR INFRASTRUCTURE LTD.,GMRINFRA
HDFC LTD,HDFC
HERO MOTOCORP LIMITED,HEROMOTOCO
CONTAINER CORP OF IND LTD,CONCOR
HINDALCO  INDUSTRIES  LTD,HINDALCO
DR. REDDY'S LABORATORIES,DRREDDY
HINDUSTAN UNILEVER LTD.,HINDUNILVR
INDIABULLS HSG FIN LTD,IBULHSGFIN
IDBI BANK LIMITED,IDBI
INDRAPRASTHA GAS LTD,IGL
MANAPPURAM FINANCE LTD,MANAPPURAM
MAX FINANCIAL SERV LTD,MFSL
M&M FIN. SERVICES LTD,M&MFIN
MARUTI SUZUKI INDIA LTD.,MARUTI
ORACLE FIN SERV SOFT LTD.,OFSS
NMDC LTD.,NMDC
OIL INDIA LTD,OIL
POWER GRID CORP. LTD.,POWERGRID
RBL BANK LIMITED,RBLBANK
SHREE CEMENT LIMITED,SHREECEM
SUN PHARMACEUTICAL IND L,SUNPHARMA
TATA STEEL LIMITED,TATASTEEL
TATA ELXSI LIMITED,TATAELXSI
TORRENT PHARMACEUTICALS L,TORNTPHARM
TVS MOTOR COMPANY  LTD,TVSMOTOR
ULTRATECH CEMENT LIMITED,ULTRACEMCO
ZEE ENTERTAINMENT ENT LTD,ZEEL
COLGATE PALMOLIVE LTD.,COLPAL
